year4,tp_ntl,tp_WSLH,tp_ntl_EDI,tp_WSLH_EDI
1996,41,38,41,38
1997,49.5,43,49.5,43
1998,38,37.5,38,37.5
1999,46.5,56,46.5,56
2000,56,58,56,58
2001,65,68,65,68
2002,64,63,64,63
2003,54,NA,54,NA
2004,57.5,NA,57.5,NA
2005,44,53,44,53
2006,60,81,60,81
2007,42,44.5,42,44.5
2008,42,38,42,38
2009,32,33,32,33
2010,37,36,37,36
2011,11,34,11,34
2012,18.5,30,18.5,30
2013,51.5,40,51.5,40
2014,42,40,42,40
2015,28.5,30.5,28.5,30.5
2016,35,36.50000000000001,35,36.50000000000001
2017,62,58,62,58
2018,46.5,48,46.5,48
2019,42.5,48.5,42.5,48.5
2020,11,NA,NA,NA
2021,27,30,27,30.5
2022,28.75,NA,28.5,30.5
