year4,NAME,arb.precip,num_na
1995,"UW ARBORETUM MADISON, WI US",572.9,2
1996,"UW ARBORETUM MADISON, WI US",639.7,12
1997,"UW ARBORETUM MADISON, WI US",701.5,5
1998,"UW ARBORETUM MADISON, WI US",835.6,4
1999,"UW ARBORETUM MADISON, WI US",750.8,15
2000,"UW ARBORETUM MADISON, WI US",967.4,1
2001,"UW ARBORETUM MADISON, WI US",711.2,8
2002,"UW ARBORETUM MADISON, WI US",589.8,6
2003,"UW ARBORETUM MADISON, WI US",507.7,2
2004,"UW ARBORETUM MADISON, WI US",735.1,11
2005,"UW ARBORETUM MADISON, WI US",315.3,20
2006,"UW ARBORETUM MADISON, WI US",744.3,4
2007,"UW ARBORETUM MADISON, WI US",815.9,8
2008,"UW ARBORETUM MADISON, WI US",880.8,3
2009,"UW ARBORETUM MADISON, WI US",695.3,4
2010,"UW ARBORETUM MADISON, WI US",854.3,0
2011,"UW ARBORETUM MADISON, WI US",593.9,1
2012,"UW ARBORETUM MADISON, WI US",517.7,2
2013,"UW ARBORETUM MADISON, WI US",963.3,0
2014,"UW ARBORETUM MADISON, WI US",704.1,0
2015,"UW ARBORETUM MADISON, WI US",598.2,4
2016,"UW ARBORETUM MADISON, WI US",759.5,3
2017,"UW ARBORETUM MADISON, WI US",967.1,3
2018,"UW ARBORETUM MADISON, WI US",1119.5,2
2019,"UW ARBORETUM MADISON, WI US",761.9,0
2020,"UW ARBORETUM MADISON, WI US",625.6,1
2021,"UW ARBORETUM MADISON, WI US",503.1,0
2022,"UW ARBORETUM MADISON, WI US",634.1,1
2023,"UW ARBORETUM MADISON, WI US",607.2,0
2024,"UW ARBORETUM MADISON, WI US",1028.1,0
